track_code,race_date,race_number,post_position,entry,distance,surface_code,race_type,claiming_price_category,race_class,purse,trainer_name,trainer_starts,trainer_wins,trainer_places,trainer_shows,jockey_name,jockey_starts,jockey_wins,jockey_places,jockey_shows,owner_name,owner_silks,blank10,blank11,morning_line_odds
CD ,20250426,5,9,,1870,D,C,BUN,Clm 20000b,58000,ORANTES JOSE,0,0,0,0,HERNANDEZ JANN N,,0,0,0,Royal blue; multicolored eagle; black bars on sleeves; royal blue and black quartered cap,,,9,20.0
CD ,20250426,6,1,,1430,D,M,BUN,Md 50000,67000,HESS R B JR,0,0,0,0,LEPAROUX JULIEN R,,0,0,0,Navy; gold circled kelly green shamrock; gold cap,,,1,15.0
CD ,20250426,6,2,,1430,D,M,BUN,Md 50000,67000,STEWART DALLAS,0,0,0,0,SAEZ LUIS,,0,0,0,Gold; black triangular panel; gold and red quartered sleeves; gold cap,,,2,5.0
CD ,20250426,6,3,,1430,D,M,BUN,Md 50000,67000,JOHNSTON LANE D,0,0,0,0,SAEZ GABRIEL,,0,0,0,Black; white diamond framed 'LJ'; black cap,,,3,4.5
CD ,20250426,6,4,,1430,D,M,BUN,Md 50000,67000,LYNCH BRIAN A,0,0,0,0,MONCADA IRVING,5.0,0,0,0,White; blue bars on sleeves; white cap,,,4,4.0
CD ,20250426,6,5,,1430,D,M,BUN,Md 50000,67000,SCHULTZ LINDSAY,0,0,0,0,HERNANDEZ COLBY J,,0,0,0,Lime; black circled 'N'; pink and yellow hoops; pink and yellow bars on sleeves; lime cap,,,5,12.0
CD ,20250426,6,6,,1430,D,M,BUN,Md 50000,67000,BARRETT RODDINA A,0,0,0,0,GUTIERREZ MARIO,,0,0,0,Black; red belt; black chevrons on red sleeves; black cap,,,6,20.0
CD ,20250426,6,7,,1430,D,M,BUN,Md 50000,67000,MEDINA ROBERT,0,0,0,0,ROSARIO JOEL,,0,0,0,Cream; navy Cross of Lorraine; navy sleeves; cream star on navy cap,,,7,20.0
CD ,20250426,6,8,,1430,D,M,BUN,Md 50000,67000,VOSLER EUGENE S,0,0,0,0,SERPA ANGEL,,0,0,0,Ivory; burgundy circled 'K'; burgundy chevrons on sleeves; burgundy cap,,,8,30.0
CD ,20250426,6,9,,1430,D,M,BUN,Md 50000,67000,STALL ALBERT M JR,0,0,0,0,MACHADO LUAN,,0,0,0,Red; white dots; white cap,,,9,10.0
CD ,20250426,6,10,,1430,D,M,BUN,Md 50000,67000,PUHICH MIKE,0,0,0,0,CANNON DECLAN,,0,0,0,Fluorescent pink; blue 'D'; multi-colored bars on sleeves; fluorescent pink cap,,,10,3.5
CD ,20250426,6,11,,1430,D,M,BUN,Md 50000,67000,CASSE MARK,0,0,0,0,ORTIZ JOSE L,,0,0,0,Hot pink; black epaulets; black circled 'BB'; black cap,,,11,5.0
CD ,20250426,6,12,,1430,D,M,BUN,Md 50000,67000,ROMERO GREGORY,0,0,0,0,CALLEJA ANDRES,,0,0,0,Black; gold 'MV'; black cap,,,12,30.0
CD ,20250426,7,1,,2200,D,S,BUM,Md Sp Wt,92000,SHARP JOE,0,0,0,0,SAEZ LUIS,,0,0,0,Purple; silver sash; silver sleeves; purple cap,,,1,8.0
CD ,20250426,7,2,,2200,D,S,BUM,Md Sp Wt,92000,MCPEEK KENNETH G,0,0,0,0,HERNANDEZ B J JR,,0,0,0,Navy; navy musical note on gold 'D'; navy musical notes on gold stripe on sleeves; navy cap,,,2,2.5
CD ,20250426,7,3,,2200,D,S,BUM,Md Sp Wt,92000,HUMPHRIES THOMAS,0,0,0,0,MACHADO LUAN,,0,0,0,Black; white ball; white cap,,,3,15.0
CD ,20250426,7,4,,2200,D,S,BUM,Md Sp Wt,92000,JACOBSON DAVID,0,0,0,0,ORTIZ IRAD JR,,0,0,0,Black; red star; red stripes on sleeves; red cap,,,4,4.0
CD ,20250426,7,5,,2200,D,S,BUM,Md Sp Wt,92000,BLAIR JORDAN,0,0,0,0,MONCADA IRVING,5.0,0,0,0,White; silver circled orange and brown horsehead; white cap,,,5,3.5
CD ,20250426,7,6,,2200,D,S,BUM,Md Sp Wt,92000,SHARP JOE,0,0,0,0,ORTIZ JOSE L,,0,0,0,White; purple diamond; white diamonds on purple sleeves; white cap,,,6,4.5
CD ,20250426,7,7,,2200,D,S,BUM,Md Sp Wt,92000,ORTIZ JOHN ALEXANDER,0,0,0,0,LEPAROUX JULIEN R,,0,0,0,Purple; white 'S'; white band on sleeves; purple cap,,,7,12.0
CD ,20250426,7,8,,2200,D,S,BUM,Md Sp Wt,92000,VANCE THOMAS D,0,0,0,0,LANERIE C J,,0,0,0,Black; black 'ML' on pink star; pink bars on sleeves; black cap,,,8,5.0
CD ,20250426,8,1,,1870,T,C,BUM,Clm 50000n2l,76000,FOLEY GREG,0,0,0,0,ORTIZ IRAD JR,,0,0,0,Red; white circled 'JR'; white sleeves; white cap,,,1,3.5
CD ,20250426,8,2,,1870,T,C,BUM,Clm 50000n2l,76000,GARCIA GENARO,0,0,0,0,GUTIERREZ MARIO,,0,0,0,Lime; lime 'V' on blue ball; blue bars on sleeves; lime cap,,,2,6.0
CD ,20250426,8,3,,1870,T,C,BUM,Clm 50000n2l,76000,KING BARRY L,0,0,0,0,LEPAROUX JULIEN R,,0,0,0,White; black 'BK'; white cap,,,3,8.0
CD ,20250426,8,4,,1870,T,C,BUM,Clm 50000n2l,76000,BRISSET RODOLPHE,0,0,0,0,SAEZ LUIS,,0,0,0,Blue; light blue sash; light blue chevrons on sleeves; blue cap,,,4,4.5
CD ,20250426,8,5,,1870,T,C,BUM,Clm 50000n2l,76000,HILES JEFF A,0,0,0,0,LANERIE C J,,0,0,0,Black; white 'MyRacehorse' and horsehead emblem; white chevrons on sleeves; white cap,,,5,15.0
CD ,20250426,8,6,,1870,T,C,BUM,Clm 50000n2l,76000,NIHEI MICHELLE,0,0,0,0,ACHARD ALEX,,0,0,0,Black; blue circled pink horse; purple stripes on sleeves; purple cap,,,6,15.0
CD ,20250426,8,7,,1870,T,C,BUM,Clm 50000n2l,76000,WIGGINS LON,0,0,0,0,SAEZ GABRIEL,,0,0,0,Yellow; red dots; red cap,,,7,15.0
CD ,20250426,8,8,,1870,T,C,BUM,Clm 50000n2l,76000,ASMUSSEN STEVEN M,0,0,0,0,ROSARIO JOEL,,0,0,0,Black; white and black 'CC' on red ball; red and white star stripe on sleeves; red cap,,,8,4.0
CD ,20250426,8,9,,1870,T,C,BUM,Clm 50000n2l,76000,SHARP JOE,0,0,0,0,ORTIZ JOSE L,,0,0,0,Red; red; white and black 'RR' on hawk; red stripe on white sleeves; red cap,,,9,5.0
CD ,20250426,8,10,,1870,T,C,BUM,Clm 50000n2l,76000,MILLER DARRIN,0,0,0,0,MILLER CHASE,,0,0,0,Hot pink; black fleur de lis; black chevrons on sleeves; hot pink cap,,,10,15.0
CD ,20250426,8,11,,1870,T,C,BUM,Clm 50000n2l,76000,STEWART DALLAS,0,0,0,0,HERNANDEZ B J JR,,0,0,0,Green; black 'OOO'; yellow band on sleeves; yellow cap,A,,11,15.0
CD ,20250426,8,12,,1870,T,C,BUM,Clm 50000n2l,76000,HARTMAN CHRIS,0,0,0,0,CURTIS BEN,,0,0,0,Green; pink dots; pink sleeves; green cap,A,,12,5.0
CD ,20250426,8,13,,1870,T,C,BUM,Clm 50000n2l,76000,TROIANI NICCOLO,0,0,0,0,MACHADO LUAN,,0,0,0,Lime; pink sash; pink stars and 'DBK' on sleeves; lime cap,A,,13,20.0
CD ,20250426,8,14,,1870,T,C,BUM,Clm 50000n2l,76000,BAHENA ISMAEL,0,0,0,0,RODRIGUEZ WALTER A,,0,0,0,Blue; blue 'IB' on white diamond; blue diamonds on white sleeves; blue cap,A,,14,20.0
CD ,20250426,9,1,,1320,D,N,CUM,RoxelanaL200k,200000,CALHOUN WILLIAM BRET,0,0,0,0,MURRILL MITCHELL,,0,0,0,Red and white halves; black 'M'; black bars on sleeves; red cap,,,1,4.5
CD ,20250426,9,2,,1320,D,N,CUM,RoxelanaL200k,200000,MCCARTHY MICHAEL W,0,0,0,0,ROSARIO JOEL,,0,0,0,Red; black inverted chevron; black sleeves; red and black cap,,,2,2.5
CD ,20250426,9,3,,1320,D,N,CUM,RoxelanaL200k,200000,LUKAS D WAYNE,0,0,0,0,JUAREZ NIK,,0,0,0,Tan; green and burgundy panel; burgundy stripe on green cap,,,3,10.0
CD ,20250426,9,4,,1320,D,N,CUM,RoxelanaL200k,200000,HARTMAN CHRIS,0,0,0,0,MACHADO LUAN,,0,0,0,Yellow; green diamond belt; green cap,,,4,10.0
CD ,20250426,9,5,,1320,D,N,CUM,RoxelanaL200k,200000,DELGADO GUSTAVO,0,0,0,0,HERNANDEZ B J JR,,0,0,0,White; yellow inverted chevron; yellow stars on sleeves; white cap,,,5,8.0
CD ,20250426,9,6,,1320,D,N,CUM,RoxelanaL200k,200000,FOLEY GREG,0,0,0,0,ORTIZ IRAD JR,,0,0,0,White; black circled 'DM'; black yoke; white bars on black sleeves; white cap,,,6,3.0
